,single_num,single_alc-rel,single_percent-alc-rel,multiple_num,multiple_alc-rel,multiple_percent-alc-rel,total_num,total_alc-rel,total_percent-alc-rel
,Single Vehicle,,,Multiple Vehicles,,,Total,,
FieldDesc,Number,Alcohol--Related,Percent Alcohol--Related,Number1,Alcohol--Related1,Percent Alcohol--Related1,Number2,Alcohol--Related2,Percent Alcohol--Related2
,,,,,,,,,
Midnight to 2:59 a.m.,236,99,42,102,48,47,338,147,44
3 a.m. to 5:59 a.m.,205,69,34,137,57,42,342,126,37
6 a.m. to 8:59 a.m.,167,12,7,160,17,11,327,29,9
9 a.m. to 11:59 a.m.,102,10,10,143,13,9,245,23,9
Noon to 2:59 p.m.,122,19,16,184,17,9,306,37,12
3 p.m. to 5:59 p.m.,166,34,21,258,44,17,424,78,18
6 p.m. to 8:59 p.m.,365,78,21,288,80,28,653,158,24
9 p.m. to 11:59 p.m.,332,89,27,215,77,36,547,166,30
Unknown,1,1,100,NA,NA,NA,1,1,100
Total,1696,411,24,1487,353,24,3183,764,24
