,,First Harmful Event,,,,,,,,,,,,,,,,
,,Collision With,,,,,,,,Non--Collision,,,,,,,,
,,Motor Vehicle,,Nonmotorist,,Fixed Object,,Object Not Fixed,,Overturn,,Other,,Unknown,,Total Fatal Crashes,,
State,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,,
,,,,,,,,,,,,,,,,,,
Alabama,366,41.0,121,13.5,323,36.2,27,3.0,56,6.3,0,0.0,0,0.0,893,100.0,,
Alaska,23,41.1,12,21.4,16,28.6,1,1.8,2,3.6,1,1.8,1,1.8,56,100.0,,
Arizona,552,46.2,298,24.9,179,15.0,25,2.1,104,8.7,8,0.7,29,2.4,1195,100.0,,
Arkansas,216,39.9,84,15.5,181,33.4,12,2.2,46,8.5,3,0.6,0,0.0,542,100.0,,
California,1279,34.3,1202,32.3,889,23.9,122,3.3,209,5.6,24,0.6,2,0.1,3727,100.0,,
Colorado,256,38.4,151,22.7,156,23.4,16,2.4,85,12.8,2,0.3,0,0.0,666,100.0,,
Connecticut,121,41.9,46,15.9,101,34.9,7,2.4,7,2.4,7,2.4,0,0.0,289,100.0,,
Delaware,48,37.5,34,26.6,37,28.9,1,0.8,7,5.5,1,0.8,0,0.0,128,100.0,,
District of Columbia,12,30.8,16,41.0,7,17.9,2,5.1,1,2.6,1,2.6,0,0.0,39,100.0,,
Florida,1353,42.5,995,31.3,635,19.9,54,1.7,125,3.9,21,0.7,0,0.0,3183,100.0,,
Georgia,592,39.7,322,21.6,438,29.4,33,2.2,85,5.7,21,1.4,0,0.0,1491,100.0,,
Hawaii,19,21.6,29,33.0,32,36.4,2,2.3,3,3.4,3,3.4,0,0.0,88,100.0,,
Idaho,98,40.5,37,15.3,54,22.3,10,4.1,39,16.1,4,1.7,0,0.0,242,100.0,,
Illinois,508,44.4,233,20.4,276,24.1,38,3.3,74,6.5,11,1.0,3,0.3,1143,100.0,,
Indiana,353,41.9,122,14.5,258,30.6,43,5.1,54,6.4,10,1.2,2,0.2,842,100.0,,
Iowa,147,44.8,30,9.1,101,30.8,13,4.0,33,10.1,4,1.2,0,0.0,328,100.0,,
Kansas,152,43.1,42,11.9,104,29.5,11,3.1,35,9.9,9,2.5,0,0.0,353,100.0,,
Kentucky,297,38.7,130,16.9,250,32.6,21,2.7,57,7.4,11,1.4,1,0.1,767,100.0,,
Louisiana,291,38.5,173,22.9,231,30.6,18,2.4,26,3.4,16,2.1,0,0.0,755,100.0,,
Maine,38,29.9,19,15.0,60,47.2,1,0.8,9,7.1,0,0.0,0,0.0,127,100.0,,
Maryland,227,39.3,160,27.7,159,27.6,16,2.8,12,2.1,3,0.5,0,0.0,577,100.0,,
Massachusetts,101,31.1,68,20.9,133,40.9,14,4.3,5,1.5,4,1.2,0,0.0,325,100.0,,
Michigan,457,44.8,193,18.9,255,25.0,44,4.3,55,5.4,15,1.5,1,0.1,1020,100.0,,
Minnesota,176,47.6,47,12.7,76,20.5,10,2.7,54,14.6,7,1.9,0,0.0,370,100.0,,
Mississippi,248,37.3,96,14.4,248,37.3,13,2.0,56,8.4,4,0.6,0,0.0,665,100.0,,
Missouri,364,40.2,129,14.3,289,31.9,23,2.5,89,9.8,11,1.2,0,0.0,905,100.0,,
Montana,68,34.7,22,11.2,58,29.6,8,4.1,34,17.3,6,3.1,0,0.0,196,100.0,,
Nebraska,95,46.1,18,8.7,56,27.2,7,3.4,30,14.6,0,0.0,0,0.0,206,100.0,,
Nevada,127,36.2,108,30.8,83,23.6,7,2.0,25,7.1,1,0.3,0,0.0,351,100.0,,
New Hampshire,51,41.8,16,13.1,34,27.9,4,3.3,15,12.3,2,1.6,0,0.0,122,100.0,,
