,single_num,single_alc-rel,single_percent-alc-rel,multiple_num,multiple_alc-rel,multiple_percent-alc-rel,total_num,total_alc-rel,total_percent-alc-rel
Midnight to 2:59 a.m.,72,38,53,37,22,61,109,61,56
3 a.m. to 5:59 a.m.,53,21,39,26,14,54,79,35,44
6 a.m. to 8:59 a.m.,52,8,15,45,6,14,97,14,15
9 a.m. to 11:59 a.m.,36,2,4,64,5,8,100,6,6
Noon to 2:59 p.m.,56,7,13,86,9,10,142,16,11
3 p.m. to 5:59 p.m.,68,12,18,94,18,19,162,30,19
6 p.m. to 8:59 p.m.,83,26,31,85,21,24,168,46,27
9 p.m. to 11:59 p.m.,102,29,29,59,25,43,161,54,34
Unknown,2,1,55,NA,NA,NA,2,1,55
Total,524,144,27,496,121,24,1020,264,26
